duration,v_3,v_4,v_5,v_7,v_8,v_9,Headlines AVG Score,v_12,v_13,v_15,v_17,v_18,v_16,v_25,v_26,v_23,v_24,v_14,v_1,v_2
173,5,3,1,3,1,3,8,3,3,6,7,4,6,4,1,6,2,6,2,1
112,5,2,3,3,3,3,12,2,4,1,6,5,7,1,2,3,6,4,2,2
234,5,2,1,3,1,3,8,3,3,2,7,5,4,4,2,3,5,7,2,2
200,5,2,1,1,1,2,5,2,4,3,7,5,5,3,1,3,7,5,2,2
190,5,2,3,3,2,2,10,3,5,2,1,1,4,1,1,5,4,3,2,2
202,1,2,3,3,3,3,12,2,2,1,3,6,2,1,1,3,3,1,3,1
178,5,2,1,3,2,2,8,2,2,1,7,5,5,7,2,4,5,3,2,2
210,5,2,1,3,2,3,9,2,3,3,6,5,5,4,1,4,7,4,2,2
213,5,2,2,2,2,3,9,2,2,2,7,6,7,2,1,4,7,7,2,1
201,1,2,2,3,3,1,9,4,3,5,6,5,4,2,1,2,7,5,2,2
103,5,2,3,3,3,3,12,1,7,1,1,1,1,4,4,4,4,4,2,1
97,1,2,1,2,2,1,6,1,3,3,2,2,6,2,1,1,7,5,2,2
109,5,2,3,3,3,3,12,1,4,6,6,7,1,1,1,3,5,7,2,2
212,5,2,3,3,3,3,12,1,5,4,6,7,5,1,1,2,5,1,2,2
197,5,2,3,3,3,3,12,1,4,4,5,6,4,5,1,5,5,4,2,2
148,5,2,3,3,3,3,12,2,4,4,7,5,7,4,1,1,7,4,2,2
163,5,2,3,3,3,2,11,3,3,2,3,5,3,2,1,3,2,3,2,2
192,5,2,1,3,2,2,8,3,2,1,5,6,4,5,1,4,7,4,2,2
161,1,2,2,2,2,3,9,3,3,1,5,2,6,2,1,1,1,1,2,1
309,5,3,2,2,3,2,9,3,5,3,6,4,3,2,1,3,3,3,1,2
400,5,2,2,2,2,2,8,2,4,4,6,2,3,5,1,3,6,2,2,2
425,5,2,2,2,3,2,9,1,2,1,7,5,1,2,1,1,7,1,2,2
334,5,2,2,2,2,2,8,3,5,3,5,6,5,4,1,2,5,5,2,2
178,1,2,1,1,1,1,4,5,3,4,6,4,5,2,1,3,7,5,2,2
178,1,2,3,3,1,3,10,1,1,1,7,3,6,1,1,6,4,5,2,1
244,5,2,2,3,2,1,8,2,2,1,6,5,5,4,2,6,7,5,0,1
231,5,2,2,3,2,2,9,2,2,1,3,5,3,2,1,2,7,2,2,2
121,5,2,3,3,3,3,12,1,2,2,2,5,4,1,1,3,7,3,2,2
858,1,2,1,2,2,1,6,5,4,4,6,5,2,1,1,1,7,7,2,2
198,5,3,3,3,1,3,10,1,2,1,5,5,1,2,1,3,3,4,3,2
239,5,2,3,3,3,3,12,1,1,3,4,4,3,2,1,1,7,1,2,2
302,1,2,2,2,3,2,9,2,2,1,7,5,7,1,1,2,5,2,2,1
124,1,1,3,3,3,3,12,5,5,5,5,5,4,2,2,4,4,3,2,1
304,5,2,3,3,3,3,12,2,2,1,7,4,6,2,1,4,7,3,3,2
261,1,1,3,1,1,1,6,3,2,2,6,4,3,3,5,6,3,6,2,2
130,5,2,3,3,3,3,12,2,5,4,7,4,1,1,1,1,7,2,2,2
259,5,3,3,3,3,3,12,1,1,1,7,7,7,1,1,1,1,4,4,1
177,5,2,3,3,3,2,11,4,6,2,5,5,7,2,2,2,5,1,2,2
165,1,3,1,3,1,1,6,3,3,4,5,6,4,2,2,2,6,2,2,2
176,1,2,3,1,2,3,9,4,1,3,5,7,4,5,1,1,7,7,3,2
158,5,2,1,1,3,2,7,2,3,2,7,3,5,2,1,2,7,5,2,2
255,1,2,1,1,1,1,4,2,4,3,5,4,7,4,1,1,7,5,2,2
172,5,2,3,2,1,2,8,2,3,2,5,5,6,4,1,1,7,1,2,2
172,5,2,3,3,3,3,12,2,5,2,7,6,6,4,2,5,7,2,2,1
202,1,2,3,3,3,2,11,1,1,1,7,7,7,7,7,7,1,1,2,1
260,5,2,1,2,1,1,5,1,3,3,7,6,6,2,2,1,3,3,2,1
191,5,2,3,3,3,2,11,1,2,1,6,7,7,2,1,4,3,2,2,1
255,5,2,1,2,2,2,7,4,3,3,6,5,3,2,2,5,6,5,2,1
145,5,2,3,3,1,2,9,5,3,1,1,2,5,7,5,2,3,5,2,1
234,5,2,2,3,3,2,10,4,7,2,7,5,6,5,1,4,6,5,2,1
190,5,2,1,2,3,2,8,1,2,2,6,5,7,3,3,5,3,5,3,1
167,1,2,3,3,3,3,12,2,2,4,2,2,4,1,1,7,4,3,3,1
274,5,2,2,2,2,2,8,1,2,1,7,7,7,2,1,3,4,1,2,1
132,5,2,3,2,2,1,8,2,2,3,2,3,3,1,2,2,6,3,2,2
178,5,2,2,2,2,2,8,1,2,1,7,5,5,3,1,4,3,1,2,1
150,1,2,3,3,3,3,12,2,3,2,6,3,4,6,1,6,5,4,2,1
114,5,2,3,3,3,1,10,1,1,1,1,1,1,2,1,4,5,1,2,2
204,5,2,1,3,2,2,8,3,4,3,5,5,6,4,1,5,4,4,2,2
179,5,2,1,1,1,1,4,1,1,1,1,1,7,1,1,7,1,1,2,1
165,5,2,1,2,2,2,7,5,3,4,6,5,6,1,1,1,7,4,2,2
144,5,2,1,1,1,1,4,2,2,4,4,4,4,3,3,3,6,4,2,2
220,5,2,2,1,2,2,7,3,3,2,6,3,5,2,2,2,7,4,2,2
189,5,2,3,1,1,1,6,2,2,1,3,5,5,1,1,2,7,7,2,2
148,5,2,1,3,2,3,9,3,2,2,5,6,5,3,1,2,6,4,2,2
267,1,2,3,1,2,1,7,3,3,2,7,4,4,4,1,1,5,4,2,2
245,5,2,3,3,3,3,12,1,1,1,4,3,4,1,1,1,3,3,2,2
147,5,2,3,3,3,3,12,1,1,1,1,1,1,1,1,1,1,1,2,2
149,5,2,3,3,3,2,11,1,2,1,1,1,1,3,1,1,7,1,1,2
259,5,2,1,1,1,1,4,2,2,1,4,5,4,4,1,4,7,6,2,2
325,5,2,2,2,2,1,7,2,2,2,3,3,2,4,1,3,5,3,2,2
238,5,2,2,2,2,2,8,3,3,3,4,4,5,2,2,7,2,5,3,1
275,5,2,1,2,1,3,7,1,3,3,4,5,4,3,1,2,7,4,3,2
285,5,2,1,1,1,1,4,3,2,4,7,5,7,7,6,7,2,5,2,1
500,5,3,2,2,3,2,9,2,2,1,6,5,7,1,1,5,5,4,3,1
169,5,2,2,3,2,2,9,3,2,1,7,5,5,3,1,3,6,6,2,1
254,5,2,3,3,3,3,12,3,4,4,4,4,5,2,1,2,5,2,2,2
202,1,2,1,2,2,1,6,2,2,2,3,3,6,3,1,3,5,4,2,2
272,5,2,3,3,3,3,12,1,2,2,6,4,4,2,3,5,7,4,3,2
201,5,2,2,3,2,2,9,1,1,1,3,6,7,4,1,2,7,2,4,2
735,5,2,2,2,1,1,6,1,2,4,4,3,6,1,1,5,7,5,2,1
315,1,2,1,2,1,2,6,3,2,1,5,5,5,3,1,4,5,4,2,2
234,5,3,2,1,1,2,6,2,2,2,6,3,5,5,1,4,6,3,2,1
355,5,2,2,2,2,2,8,4,2,2,6,3,5,5,1,1,4,5,2,2
415,1,2,1,3,3,2,9,2,1,2,5,3,5,2,1,5,3,5,2,1
192,1,2,2,2,2,1,7,2,3,2,4,5,5,3,1,5,3,2,2,1
87,5,2,3,3,3,3,12,1,1,4,1,1,1,2,6,5,6,5,2,2
211,5,2,3,3,3,2,11,5,4,5,6,4,3,5,5,5,4,4,2,1
256,5,2,1,2,1,2,6,2,1,1,5,7,6,1,1,5,5,2,2,1
205,1,2,1,3,3,1,8,3,2,1,7,7,7,5,3,5,6,7,2,1
270,5,2,1,2,2,2,7,4,2,2,6,5,5,2,1,6,7,7,2,1
187,2,2,3,3,3,3,12,1,1,1,7,4,5,1,1,1,6,1,2,2
175,3,3,3,3,3,2,11,1,2,1,7,6,4,2,1,1,6,2,2,2
140,2,2,3,3,2,3,11,1,1,4,7,4,7,1,1,7,6,7,2,2
245,5,2,3,3,1,1,8,3,2,2,7,5,5,3,1,2,7,4,2,2
-1,5,2,2,2,3,2,9,1,1,1,5,3,1,3,1,3,5,2,2,2
301,1,2,3,3,3,3,12,1,3,3,5,2,2,1,1,1,7,2,2,2
183,5,2,3,3,3,3,12,1,3,2,7,3,5,4,1,2,7,3,2,2
309,5,2,1,1,1,1,4,2,2,1,5,5,7,2,1,1,7,4,2,2
315,5,2,1,1,1,2,5,4,3,2,4,4,7,6,2,4,6,2,2,2
319,5,2,2,1,1,2,6,2,1,1,5,2,3,5,2,1,5,3,2,2
219,1,2,2,1,1,1,5,2,2,1,6,5,6,2,1,1,6,5,2,1
205,5,2,3,3,3,3,12,2,2,2,7,7,3,1,1,1,7,1,2,2
181,5,2,2,2,1,2,7,4,5,2,3,7,7,4,1,5,7,1,2,2
299,5,1,2,3,3,2,10,3,3,1,5,4,6,4,2,6,4,2,2,1
353,5,3,2,2,1,2,7,2,2,2,7,4,5,2,2,3,3,3,3,1
305,5,2,3,3,3,3,12,1,2,1,7,7,7,1,1,2,6,1,3,1
635,5,3,3,3,3,2,11,1,1,1,7,6,7,2,1,3,5,1,3,3
330,1,2,1,2,2,2,7,1,1,1,1,6,7,1,1,3,5,1,2,2
251,1,2,2,2,2,2,8,1,1,1,7,7,4,1,1,1,4,1,3,2
225,1,2,3,3,3,3,12,1,1,1,5,7,4,3,1,5,1,1,3,2
167,1,2,2,3,3,2,10,1,2,1,7,7,5,2,1,3,4,1,2,1
246,5,2,2,2,2,2,8,1,2,2,5,6,5,5,1,2,5,2,2,2
241,5,2,1,2,2,1,6,1,2,3,7,1,7,2,1,4,1,5,2,1
262,5,2,2,1,1,2,6,2,1,2,5,4,6,2,2,3,2,4,2,1
